Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:40:44 AM    proc/s   cswch/s
08:40:45 AM      0.00    593.00
08:40:46 AM      0.00    635.00
08:40:47 AM      0.00    585.00
08:40:48 AM      0.00 100481.00
08:40:49 AM      0.00 386203.00
08:40:50 AM      0.00 386240.00
08:40:51 AM      0.00 386108.00
08:40:52 AM      0.00 385612.00
08:40:53 AM      0.00 385737.00
08:40:54 AM      0.00 385514.00
08:40:55 AM      0.00 385795.00
08:40:56 AM      0.00 386425.00
08:40:57 AM      0.00 386321.00
08:40:58 AM      0.00 385755.00
08:40:59 AM      0.00 147619.00
08:41:00 AM      0.00   1103.00
08:41:01 AM      0.00    583.00
08:41:02 AM      0.00    631.00
08:41:03 AM      0.00    629.00
08:41:04 AM      0.00    651.00
Average:         0.00 205661.00
