Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:31:25 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:31:26 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:31:27 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:31:28 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:31:29 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:31:30 AM       0     93.07      0.00      6.93      0.00      0.00      0.00
08:31:31 AM       0     86.00      0.00     14.00      0.00      0.00      0.00
08:31:32 AM       0     88.89      0.00     11.11      0.00      0.00      0.00
08:31:33 AM       0     89.00      0.00     11.00      0.00      0.00      0.00
08:31:34 AM       0     88.12      0.00     11.88      0.00      0.00      0.00
08:31:35 AM       0     88.00      0.00     12.00      0.00      0.00      0.00
08:31:36 AM       0     88.89      0.00     11.11      0.00      0.00      0.00
08:31:37 AM       0     91.00      0.00      9.00      0.00      0.00      0.00
08:31:38 AM       0     91.09      0.00      8.91      0.00      0.00      0.00
08:31:39 AM       0     89.90      0.00     10.10      0.00      0.00      0.00
08:31:40 AM       0     87.13      0.00     12.87      0.00      0.00      0.00
08:31:41 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:31:42 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:31:43 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:31:44 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:31:45 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
Average:          0     94.05      0.00      5.95      0.00      0.00      0.00
