Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	02/26/2020 	_x86_64_	(48 CPU)

11:35:04 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:35:05 PM     all      2.08      0.00      0.02      0.00      0.00     97.90
11:35:05 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
11:35:05 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
11:35:05 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
