Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:50:46 AM    proc/s   cswch/s
08:50:47 AM      0.00    724.00
08:50:48 AM      0.00    763.00
08:50:49 AM      0.00    692.00
08:50:50 AM      0.00  38671.00
08:50:51 AM      0.00 217694.00
08:50:52 AM      0.00 218043.00
08:50:53 AM      0.00 217886.00
08:50:54 AM      0.00 218581.00
08:50:55 AM      0.00 218567.00
08:50:56 AM      0.00 218033.00
08:50:57 AM      0.00 217527.00
08:50:58 AM      0.00 217986.00
08:50:59 AM      0.00 217654.00
08:51:00 AM      0.00 218700.00
08:51:01 AM      0.00  48608.00
08:51:02 AM      0.00    620.00
08:51:03 AM      0.00    643.00
08:51:04 AM      0.00    765.00
08:51:05 AM      0.00    702.00
08:51:06 AM      0.00    659.00
Average:         0.00 113675.90
