Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:24:37 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:24:38 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:24:39 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:24:40 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:24:41 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:24:42 AM       0     84.85      0.00     15.15      0.00      0.00      0.00
08:24:43 AM       0     83.00      0.00     17.00      0.00      0.00      0.00
08:24:44 AM       0     80.00      0.00     20.00      0.00      0.00      0.00
08:24:45 AM       0     82.00      0.00     18.00      0.00      0.00      0.00
08:24:46 AM       0     79.21      0.00     20.79      0.00      0.00      0.00
08:24:47 AM       0     80.81      0.00     19.19      0.00      0.00      0.00
08:24:48 AM       0     80.20      0.00     19.80      0.00      0.00      0.00
08:24:49 AM       0     80.81      0.00     19.19      0.00      0.00      0.00
08:24:50 AM       0     80.00      0.00     20.00      0.00      0.00      0.00
08:24:51 AM       0     80.00      0.00     20.00      0.00      0.00      0.00
08:24:52 AM       0     89.00      0.00     11.00      0.00      0.00      0.00
08:24:53 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:24:54 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:24:55 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:24:56 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:24:57 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
Average:          0     89.99      0.00     10.01      0.00      0.00      0.00
