Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

12:41:23 AM    proc/s   cswch/s
12:41:24 AM      0.00    586.00
12:41:25 AM      0.00    485.00
12:41:26 AM      0.00    513.00
12:41:27 AM      0.00   1001.00
12:41:28 AM      0.00  13288.00
12:41:29 AM      0.00  16583.00
12:41:30 AM      0.00  16564.00
12:41:31 AM      0.00  16466.00
12:41:32 AM      0.00  16508.00
12:41:33 AM      0.00  16494.00
12:41:34 AM      0.00  16662.00
12:41:35 AM      0.00  16527.00
12:41:36 AM      0.00  16497.00
12:41:37 AM      0.00  16560.00
12:41:38 AM      0.00   9496.00
12:41:39 AM      0.00    501.00
12:41:40 AM      0.00    595.00
12:41:41 AM      0.00    616.00
12:41:42 AM      0.00    527.00
12:41:43 AM      0.00    504.00
Average:         0.00   8848.65
