Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:32:25 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:32:26 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:32:27 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:32:28 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:32:29 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:32:30 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:32:31 AM       0     91.00      0.00      9.00      0.00      0.00      0.00
08:32:32 AM       0     89.00      0.00     11.00      0.00      0.00      0.00
08:32:33 AM       0     86.87      0.00     13.13      0.00      0.00      0.00
08:32:34 AM       0     89.00      0.00     11.00      0.00      0.00      0.00
08:32:35 AM       0     89.00      0.00     11.00      0.00      0.00      0.00
08:32:36 AM       0     89.00      0.00     11.00      0.00      0.00      0.00
08:32:37 AM       0     90.00      0.00     10.00      0.00      0.00      0.00
08:32:38 AM       0     91.09      0.00      8.91      0.00      0.00      0.00
08:32:39 AM       0     89.00      0.00     11.00      0.00      0.00      0.00
08:32:40 AM       0     88.00      0.00     12.00      0.00      0.00      0.00
08:32:41 AM       0     90.00      0.00     10.00      0.00      0.00      0.00
08:32:42 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:32:43 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:32:44 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:32:45 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
Average:          0     94.10      0.00      5.90      0.00      0.00      0.00
