Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:25:04 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:25:05 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:25:06 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:25:07 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:25:08 AM       0     98.00      0.00      2.00      0.00      0.00      0.00
08:25:09 AM       0     80.00      0.00     20.00      0.00      0.00      0.00
08:25:10 AM       0     80.00      0.00     20.00      0.00      0.00      0.00
08:25:11 AM       0     80.00      0.00     20.00      0.00      0.00      0.00
08:25:12 AM       0     82.00      0.00     18.00      0.00      0.00      0.00
08:25:13 AM       0     80.00      0.00     20.00      0.00      0.00      0.00
08:25:14 AM       0     82.00      0.00     18.00      0.00      0.00      0.00
08:25:15 AM       0     83.00      0.00     17.00      0.00      0.00      0.00
08:25:16 AM       0     80.00      0.00     20.00      0.00      0.00      0.00
08:25:17 AM       0     79.00      0.00     21.00      0.00      0.00      0.00
08:25:18 AM       0     79.00      0.00     21.00      0.00      0.00      0.00
08:25:19 AM       0     87.00      0.00     13.00      0.00      0.00      0.00
08:25:20 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:25:21 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:25:22 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:25:23 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:25:24 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
Average:          0     89.50      0.00     10.50      0.00      0.00      0.00
