Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:40:20 AM    proc/s   cswch/s
08:40:21 AM      0.00    646.00
08:40:22 AM      0.00    672.00
08:40:23 AM      0.00    615.00
08:40:24 AM      0.00 336598.00
08:40:25 AM      0.00 385736.00
08:40:26 AM      0.00 386224.00
08:40:27 AM      0.00 386371.00
08:40:28 AM      0.00 386395.00
08:40:29 AM      0.00 386296.00
08:40:30 AM      1.00 386369.00
08:40:31 AM      0.00 385992.00
08:40:32 AM      0.00 385604.00
08:40:33 AM      0.00 386070.00
08:40:34 AM      0.00 102420.00
08:40:35 AM      0.00    629.00
08:40:36 AM      0.00    637.00
08:40:37 AM      0.00    622.00
08:40:38 AM      0.00    648.00
08:40:39 AM      0.00    646.00
08:40:40 AM      0.00    531.00
Average:         0.05 195986.05
