Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:28:33 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:28:34 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:28:35 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:28:36 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:28:37 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:28:38 AM       0     93.00      0.00      7.00      0.00      0.00      0.00
08:28:39 AM       0     86.00      0.00     14.00      0.00      0.00      0.00
08:28:40 AM       0     86.14      0.00     13.86      0.00      0.00      0.00
08:28:41 AM       0     85.86      0.00     14.14      0.00      0.00      0.00
08:28:42 AM       0     87.00      0.00     13.00      0.00      0.00      0.00
08:28:43 AM       0     85.15      0.00     14.85      0.00      0.00      0.00
08:28:44 AM       0     86.87      0.00     13.13      0.00      0.00      0.00
08:28:45 AM       0     85.00      0.00     15.00      0.00      0.00      0.00
08:28:46 AM       0     86.00      0.00     14.00      0.00      0.00      0.00
08:28:47 AM       0     85.00      0.00     15.00      0.00      0.00      0.00
08:28:48 AM       0     86.00      0.00     14.00      0.00      0.00      0.00
08:28:49 AM       0     99.00      0.00      1.00      0.00      0.00      0.00
08:28:50 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:28:51 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:28:52 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:28:53 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
Average:          0     92.55      0.00      7.45      0.00      0.00      0.00
