Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:42:09 AM    proc/s   cswch/s
08:42:10 AM      0.00    728.00
08:42:11 AM      0.00    703.00
08:42:12 AM      0.00    657.00
08:42:13 AM      0.00   1645.00
08:42:14 AM      0.00 285840.00
08:42:15 AM      0.00 285892.00
08:42:16 AM      8.00 286627.00
08:42:17 AM      0.00 285712.00
08:42:18 AM      0.00 286206.00
08:42:19 AM      0.00 286039.00
08:42:20 AM      0.00 286286.00
08:42:21 AM      0.00 286257.00
08:42:22 AM      0.00 286604.00
08:42:23 AM      0.00 285977.00
08:42:24 AM      0.00 187846.00
08:42:25 AM      0.00    623.00
08:42:26 AM      0.00    743.00
08:42:27 AM      0.00    745.00
08:42:28 AM      0.00    578.00
08:42:29 AM      0.00    592.00
Average:         0.40 152815.00
