Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:47:07 AM    proc/s   cswch/s
08:47:08 AM      0.00    725.00
08:47:09 AM      0.00    693.00
08:47:10 AM      0.00    620.00
08:47:11 AM      0.00  41067.00
08:47:12 AM      0.00 285256.00
08:47:13 AM      0.00 285540.00
08:47:14 AM      0.00 285692.00
08:47:15 AM      0.00 285463.00
08:47:16 AM      8.00 286336.00
08:47:17 AM      0.00 285662.00
08:47:18 AM      0.00 285653.00
08:47:19 AM      0.00 285623.00
08:47:20 AM      0.00 286211.00
08:47:21 AM      0.00 286248.00
08:47:22 AM      0.00 247568.00
08:47:23 AM      0.00    615.00
08:47:24 AM      0.00    665.00
08:47:25 AM      0.00    725.00
08:47:26 AM      0.00    761.00
08:47:27 AM      0.00    587.00
Average:         0.40 157585.50
