Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:30:37 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:30:38 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:30:39 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:30:40 AM       0     98.02      0.00      1.98      0.00      0.00      0.00
08:30:41 AM       0     88.00      0.00     12.00      0.00      0.00      0.00
08:30:42 AM       0     88.00      0.00     12.00      0.00      0.00      0.00
08:30:43 AM       0     89.90      0.00     10.10      0.00      0.00      0.00
08:30:44 AM       0     90.00      0.00     10.00      0.00      0.00      0.00
08:30:45 AM       0     89.11      0.00     10.89      0.00      0.00      0.00
08:30:46 AM       0     89.00      0.00     11.00      0.00      0.00      0.00
08:30:47 AM       0     90.00      0.00     10.00      0.00      0.00      0.00
08:30:48 AM       0     89.90      0.00     10.10      0.00      0.00      0.00
08:30:49 AM       0     90.00      0.00     10.00      0.00      0.00      0.00
08:30:50 AM       0     89.11      0.00     10.89      0.00      0.00      0.00
08:30:51 AM       0     95.00      0.00      5.00      0.00      0.00      0.00
08:30:52 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:30:53 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:30:54 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:30:55 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:30:56 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
08:30:57 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
Average:          0     94.30      0.00      5.70      0.00      0.00      0.00
