Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

12:10:54 AM    proc/s   cswch/s
12:10:55 AM      0.00    558.00
12:10:56 AM      0.00    545.00
12:10:57 AM      0.00    393.00
12:10:58 AM      0.00   5256.00
12:10:59 AM      0.00  17294.00
12:11:00 AM      0.00  17814.00
12:11:01 AM      0.00  17120.00
12:11:02 AM      0.00  17309.00
12:11:03 AM      0.00  17050.00
12:11:04 AM      0.00  17029.00
12:11:05 AM      0.00  17235.00
12:11:06 AM      0.00  17206.00
12:11:07 AM      0.00  17626.00
12:11:08 AM      0.00  17606.00
12:11:09 AM      0.00   5325.00
12:11:10 AM      0.00    512.00
12:11:11 AM      0.00    462.00
12:11:12 AM      0.00    541.00
12:11:13 AM      0.00    521.00
12:11:14 AM      0.00    509.00
Average:         0.00   9395.55
