Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:46:39 AM    proc/s   cswch/s
08:46:40 AM      0.00    686.00
08:46:41 AM      0.00    616.00
08:46:42 AM      0.00    622.00
08:46:43 AM      0.00 117728.00
08:46:44 AM      0.00 286385.00
08:46:45 AM      0.00 286457.00
08:46:46 AM      0.00 286096.00
08:46:47 AM      0.00 286505.00
08:46:48 AM      0.00 286240.00
08:46:49 AM      0.00 286017.00
08:46:50 AM      0.00 286928.00
08:46:51 AM      0.00 286499.00
08:46:52 AM      0.00 286340.00
08:46:53 AM      0.00 285866.00
08:46:54 AM      0.00  56660.00
08:46:55 AM      0.00    647.00
08:46:56 AM      0.00    660.00
08:46:57 AM      0.00    762.00
08:46:58 AM      0.00    644.00
08:46:59 AM      0.00    572.00
Average:         0.00 152146.50
