Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:41:40 AM    proc/s   cswch/s
08:41:41 AM      0.00    563.00
08:41:42 AM      0.00    683.00
08:41:43 AM      0.00    728.00
08:41:44 AM      0.00 143533.00
08:41:45 AM      0.00 286314.00
08:41:46 AM      0.00 285173.00
08:41:47 AM      0.00 285714.00
08:41:48 AM      0.00 286057.00
08:41:49 AM      0.00 286474.00
08:41:50 AM      0.00 286088.00
08:41:51 AM      0.00 286640.00
08:41:52 AM      0.00 286101.00
08:41:53 AM      0.00 286682.00
08:41:54 AM      0.00 286299.00
08:41:55 AM      0.00 142519.00
08:41:56 AM      0.00    639.00
08:41:57 AM      0.00    573.00
08:41:58 AM      0.00    584.00
08:41:59 AM      0.00    661.00
08:42:00 AM      0.00   1130.00
Average:         0.00 157657.75
