Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/30/2020 	_x86_64_	(48 CPU)

10:35:50 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:37:19 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:20 PM       0     82.00      0.00     18.00      0.00      0.00      0.00
10:37:21 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:22 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:23 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:37:24 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:37:25 PM       0     80.20      0.00     19.80      0.00      0.00      0.00
10:37:26 PM       0     84.85      0.00     15.15      0.00      0.00      0.00
10:37:27 PM       0     84.16      0.00     15.84      0.00      0.00      0.00
10:37:28 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:29 PM       0     83.84      0.00     16.16      0.00      0.00      0.00
10:37:30 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:37:31 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:37:32 PM       0     84.00      0.00     16.00      0.00      0.00      0.00
10:37:33 PM       0     86.14      0.00     13.86      0.00      0.00      0.00
10:37:34 PM       0     83.84      0.00     16.16      0.00      0.00      0.00
10:37:35 PM       0     86.00      0.00     14.00      0.00      0.00      0.00
10:37:36 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:37 PM       0     86.00      0.00     14.00      0.00      0.00      0.00
10:37:38 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:39 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:40 PM       0     84.16      0.00     15.84      0.00      0.00      0.00
10:37:41 PM       0     84.85      0.00     15.15      0.00      0.00      0.00
10:37:42 PM       0     82.18      0.00     17.82      0.00      0.00      0.00
10:37:43 PM       0     84.85      0.00     15.15      0.00      0.00      0.00
10:37:44 PM       0     86.00      0.00     14.00      0.00      0.00      0.00
10:37:45 PM       0     81.19      0.00     18.81      0.00      0.00      0.00
10:37:46 PM       0     84.85      0.00     15.15      0.00      0.00      0.00
10:37:47 PM       0     84.16      0.00     15.84      0.00      0.00      0.00
10:37:48 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:49 PM       0     85.86      0.00     14.14      0.00      0.00      0.00
10:37:50 PM       0     85.00      0.00     15.00      0.00      0.00      0.00
10:37:51 PM       0     82.18      0.00     17.82      0.00      0.00      0.00
10:37:52 PM       0     84.85      0.00     15.15      0.00      0.00      0.00
10:37:53 PM       0     83.00      0.00     17.00      0.00      0.00      0.00
10:37:54 PM       0     84.16      0.00     15.84      0.00      0.00      0.00
10:37:55 PM       0     87.88      0.00     12.12      0.00      0.00      0.00
10:37:56 PM       0     97.03      0.00      2.97      0.00      0.00      0.00
10:37:57 PM       0     98.00      0.00      2.00      0.00      0.00      0.00
10:37:58 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:37:59 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:00 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:01 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:02 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:03 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:04 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:05 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:06 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:07 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:08 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:09 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:10 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:11 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:12 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:13 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:14 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:15 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:16 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:17 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:18 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:19 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:20 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:21 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:22 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:23 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:24 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:25 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:26 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:27 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:28 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:29 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:30 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:31 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:32 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:33 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:34 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:35 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:36 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:37 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:38 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:39 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:40 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:41 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:42 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:43 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:44 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:45 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:46 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:38:47 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
