Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/30/2020 	_x86_64_	(48 CPU)

10:29:09 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:30:38 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:30:39 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:30:40 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:30:41 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:30:42 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:30:43 PM       0     89.90      0.00     10.10      0.00      0.00      0.00
10:30:44 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:30:45 PM       0     90.10      0.00      9.90      0.00      0.00      0.00
10:30:46 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:30:47 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:30:48 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:30:49 PM       0     88.89      0.00     11.11      0.00      0.00      0.00
10:30:50 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:30:51 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:30:52 PM       0     89.11      0.00     10.89      0.00      0.00      0.00
10:30:53 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:30:54 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:30:55 PM       0     90.91      0.00      9.09      0.00      0.00      0.00
10:30:56 PM       0     88.12      0.00     11.88      0.00      0.00      0.00
10:30:57 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:30:58 PM       0     87.00      0.00     13.00      0.00      0.00      0.00
10:30:59 PM       0     90.91      0.00      9.09      0.00      0.00      0.00
10:31:00 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:31:01 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:31:02 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:31:03 PM       0     88.12      0.00     11.88      0.00      0.00      0.00
10:31:04 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:31:05 PM       0     87.00      0.00     13.00      0.00      0.00      0.00
10:31:06 PM       0     88.89      0.00     11.11      0.00      0.00      0.00
10:31:07 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:31:08 PM       0     88.12      0.00     11.88      0.00      0.00      0.00
10:31:09 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:31:10 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:31:11 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:31:12 PM       0     88.89      0.00     11.11      0.00      0.00      0.00
10:31:13 PM       0     90.10      0.00      9.90      0.00      0.00      0.00
10:31:14 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:31:15 PM       0     89.90      0.00     10.10      0.00      0.00      0.00
10:31:16 PM       0     90.10      0.00      9.90      0.00      0.00      0.00
10:31:17 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:31:18 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:31:19 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:31:20 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:31:21 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:31:22 PM       0     92.93      0.00      7.07      0.00      0.00      0.00
10:31:23 PM       0     92.08      0.00      7.92      0.00      0.00      0.00
10:31:24 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:31:25 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:31:26 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:31:27 PM       0     92.00      0.00      8.00      0.00      0.00      0.00
10:31:28 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:31:29 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:31:30 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:31:31 PM       0     92.00      0.00      8.00      0.00      0.00      0.00
10:31:32 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:31:33 PM       0     89.90      0.00     10.10      0.00      0.00      0.00
10:31:34 PM       0     89.11      0.00     10.89      0.00      0.00      0.00
10:31:35 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:31:36 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:31:37 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:31:38 PM       0     93.00      0.00      7.00      0.00      0.00      0.00
10:31:39 PM       0     93.00      0.00      7.00      0.00      0.00      0.00
10:31:40 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:31:41 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:31:42 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:31:43 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:31:44 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:31:45 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:31:46 PM       0     92.00      0.00      8.00      0.00      0.00      0.00
10:31:47 PM       0     92.00      0.00      8.00      0.00      0.00      0.00
10:31:48 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:31:49 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:31:50 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:31:51 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:31:52 PM       0     92.00      0.00      8.00      0.00      0.00      0.00
10:31:53 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:31:54 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:31:55 PM       0     87.00      0.00     13.00      0.00      0.00      0.00
10:31:56 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:31:57 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:31:58 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:31:59 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:32:00 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:32:01 PM       0     91.09      0.00      8.91      0.00      0.00      0.00
10:32:02 PM       0     89.90      0.00     10.10      0.00      0.00      0.00
10:32:03 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:32:04 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:32:05 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:32:06 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:32:07 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:32:08 PM       0     87.13      0.00     12.87      0.00      0.00      0.00
10:32:09 PM       0     90.91      0.00      9.09      0.00      0.00      0.00
10:32:10 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:32:11 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:32:12 PM       0     87.00      0.00     13.00      0.00      0.00      0.00
10:32:13 PM       0     93.00      0.00      7.00      0.00      0.00      0.00
10:32:14 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:32:15 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:32:16 PM       0     92.08      0.00      7.92      0.00      0.00      0.00
10:32:17 PM       0     89.90      0.00     10.10      0.00      0.00      0.00
10:32:18 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:32:19 PM       0     92.00      0.00      8.00      0.00      0.00      0.00
10:32:20 PM       0     89.11      0.00     10.89      0.00      0.00      0.00
10:32:21 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:32:22 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:32:23 PM       0     88.89      0.00     11.11      0.00      0.00      0.00
10:32:24 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:32:25 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:32:26 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:32:27 PM       0     86.00      0.00     14.00      0.00      0.00      0.00
10:32:28 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:32:29 PM       0     90.10      0.00      9.90      0.00      0.00      0.00
10:32:30 PM       0     91.92      0.00      8.08      0.00      0.00      0.00
10:32:31 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:32:32 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:32:33 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:32:34 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:32:35 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:32:36 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:32:37 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:32:38 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:32:39 PM       0     90.10      0.00      9.90      0.00      0.00      0.00
10:32:40 PM       0     90.91      0.00      9.09      0.00      0.00      0.00
10:32:41 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:32:42 PM       0     91.09      0.00      8.91      0.00      0.00      0.00
10:32:43 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:32:44 PM       0     90.91      0.00      9.09      0.00      0.00      0.00
10:32:45 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:32:46 PM       0     93.00      0.00      7.00      0.00      0.00      0.00
10:32:47 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:32:48 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:32:49 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:32:50 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:32:51 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:32:52 PM       0     93.00      0.00      7.00      0.00      0.00      0.00
10:32:53 PM       0     90.10      0.00      9.90      0.00      0.00      0.00
10:32:54 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:32:55 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:32:56 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:32:57 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:32:58 PM       0     91.92      0.00      8.08      0.00      0.00      0.00
10:32:59 PM       0     88.00      0.00     12.00      0.00      0.00      0.00
10:33:00 PM       0     90.10      0.00      9.90      0.00      0.00      0.00
10:33:01 PM       0     91.92      0.00      8.08      0.00      0.00      0.00
10:33:02 PM       0     88.12      0.00     11.88      0.00      0.00      0.00
10:33:03 PM       0     91.92      0.00      8.08      0.00      0.00      0.00
10:33:04 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:33:05 PM       0     91.09      0.00      8.91      0.00      0.00      0.00
10:33:06 PM       0     89.90      0.00     10.10      0.00      0.00      0.00
10:33:07 PM       0     91.00      0.00      9.00      0.00      0.00      0.00
10:33:08 PM       0     91.09      0.00      8.91      0.00      0.00      0.00
10:33:09 PM       0     89.90      0.00     10.10      0.00      0.00      0.00
10:33:10 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:33:11 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:33:12 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:33:13 PM       0     88.12      0.00     11.88      0.00      0.00      0.00
10:33:14 PM       0     90.91      0.00      9.09      0.00      0.00      0.00
10:33:15 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:33:16 PM       0     89.11      0.00     10.89      0.00      0.00      0.00
10:33:17 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:33:18 PM       0     88.89      0.00     11.11      0.00      0.00      0.00
10:33:19 PM       0     90.10      0.00      9.90      0.00      0.00      0.00
10:33:20 PM       0     90.91      0.00      9.09      0.00      0.00      0.00
10:33:21 PM       0     90.00      0.00     10.00      0.00      0.00      0.00
10:33:22 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:33:23 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:33:24 PM       0     92.00      0.00      8.00      0.00      0.00      0.00
10:33:25 PM       0     89.00      0.00     11.00      0.00      0.00      0.00
10:33:26 PM       0     96.04      0.00      3.96      0.00      0.00      0.00
10:33:27 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:33:28 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:33:29 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:33:30 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
10:33:31 PM       0    100.00      0.00      0.00      0.00      0.00      0.00


10:33:32 PM       0    100.00      0.00      0.00      0.00      0.00      0.00
Average:          0     90.05      0.00      9.95      0.00      0.00      0.00
