Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

12:14:36 AM    proc/s   cswch/s
12:14:37 AM      0.00    576.00
12:14:38 AM      0.00    480.00
12:14:39 AM      0.00    480.00
12:14:40 AM      0.00   1365.00
12:14:41 AM      0.00   4271.00
12:14:42 AM      5.00   5402.00
12:14:43 AM      7.00   6322.00
12:14:44 AM      0.00   5704.00
12:14:45 AM      8.00   5811.00
12:14:46 AM      0.00   5727.00
12:14:47 AM      0.00   5774.00
12:14:48 AM      0.00   5851.00
12:14:49 AM      0.00   5691.00
12:14:50 AM      0.00   5746.00
12:14:51 AM      0.00   3102.00
12:14:52 AM      0.00    580.00
12:14:53 AM      0.00    588.00
12:14:54 AM      0.00    465.00
12:14:55 AM      0.00    452.00
12:14:56 AM      0.00    497.00
Average:         1.00   3244.20
