Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

08:37:09 AM    proc/s   cswch/s
08:37:10 AM      0.00    675.00
08:37:11 AM      0.00    697.00
08:37:12 AM      0.00    690.00
08:37:13 AM      0.00  65371.00
08:37:14 AM      0.00 368525.00
08:37:15 AM      8.00 367780.00
08:37:16 AM      0.00 369464.00
08:37:17 AM      0.00 368506.00
08:37:18 AM      0.00 368893.00
08:37:19 AM      0.00 368458.00
08:37:20 AM      0.00 369952.00
08:37:21 AM      0.00 369127.00
08:37:22 AM      0.00 368816.00
08:37:23 AM      0.00 370180.00
08:37:24 AM      0.00 179651.00
08:37:25 AM      0.00    627.00
08:37:26 AM      0.00    686.00
08:37:27 AM      0.00    703.00
08:37:28 AM      0.00    705.00
08:37:29 AM      0.00    647.00
Average:         0.40 197007.65
