Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

12:39:22 AM    proc/s   cswch/s
12:39:23 AM      0.00    635.00
12:39:24 AM      0.00    566.00
12:39:25 AM      0.00    510.00
12:39:26 AM      0.00   7959.00
12:39:27 AM     11.00  13529.00
12:39:28 AM      0.00  13329.00
12:39:29 AM      0.00  13192.00
12:39:30 AM      0.00  13027.00
12:39:31 AM      0.00  13418.00
12:39:32 AM      0.00  13227.00
12:39:33 AM      0.00  13335.00
12:39:34 AM      0.00  13483.00
12:39:35 AM      0.00  13320.00
12:39:36 AM      0.00  13342.00
12:39:37 AM      0.00   1723.00
12:39:38 AM      0.00    552.00
12:39:39 AM      0.00    626.00
12:39:40 AM      0.00    542.00
12:39:41 AM      0.00    499.00
12:39:42 AM      0.00    496.00
Average:         0.55   7365.50
